Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
3125,168.8679,23.8293,0.99,-11.5581,3287,3125,1,63.0783,0.9507,0.465,344.782,sunflowerSeeds
,,,,,,,,,,,,
427,54.5452,10.1391,0.9826,-6.4762,452,427,1,23.3168,0.9447,0.7058,112.771,barley
,,,,,,,,,,,,
280,39.0409,9.2463,0.9715,-8.7622,299,280,1,18.8814,0.9365,0.6527,80.733,wheat
,,,,,,,,,,,,
492,41.2036,15.2557,0.9289,1.6787,508,492,1,25.0287,0.9685,0.8,90.376,peas
,,,,,,,,,,,,
219,27.1159,11.1369,0.9118,89.7776,245,219,1,16.6985,0.8939,0.7657,68.643,barley
,,,,,,,,,,,,
756,93.1145,11.2669,0.9927,-4.9225,806,756,1,31.0253,0.938,0.5934,201.782,sunflowerSeeds
,,,,,,,,,,,,
733,54.1827,17.2897,0.9477,0.672,756,733,1,30.5497,0.9696,0.8135,116.435,peas
,,,,,,,,,,,,
340,46.6281,9.7889,0.9777,-0.5891,347,340,1,20.8063,0.9798,0.8213,94.949,peas
,,,,,,,,,,,,
654,48.1952,17.3653,0.9328,-0.9603,675,654,1,28.8565,0.9689,0.8015,105.899,peas
,,,,,,,,,,,,
694,52.3859,16.9436,0.9462,0.219,721,694,1,29.7259,0.9626,0.8005,112.515,peas
,,,,,,,,,,,,
293,42.3714,8.9895,0.9772,11.7717,320,293,1,19.3147,0.9156,0.5497,86.001,wheat
,,,,,,,,,,,,
105,37.9031,5.1507,0.9907,-87.2515,172,108,0,11.5624,0.6105,0.3846,97.43,barley
,,,,,,,,,,,,
1048,133.2946,10.2003,0.9971,-4.4627,1144,1048,1,36.5288,0.9161,0.5458,258.68,sunflowerSeeds
,,,,,,,,,,,,
674,49.9394,17.5439,0.9363,-0.6991,708,680,0,29.2944,0.952,0.7342,110.241,peas
,,,,,,,,,,,,
223,28.7226,10.0448,0.9369,17.7723,239,223,1,16.8503,0.9331,0.5689,62.291,wheat
,,,,,,,,,,,,
394,58.7675,9.003,0.9882,-4.4965,429,401,-2,22.3977,0.9184,0.6793,119.635,barley
,,,,,,,,,,,,
289,29.8907,12.4059,0.9098,23.2437,302,289,1,19.1824,0.957,0.6451,66.939,wheat
,,,,,,,,,,,,
173,30.4326,8.0926,0.964,-88.1734,223,173,1,14.8415,0.7758,0.5767,72.753,sunflowerSeeds
,,,,,,,,,,,,
766,53.8839,18.1799,0.9414,-0.3224,793,766,1,31.2298,0.966,0.8029,117.204,peas
,,,,,,,,,,,,
303,47.7205,8.2768,0.9848,6.0649,332,303,1,19.6416,0.9127,0.6447,95.379,wheat
,,,,,,,,,,,,
2383,161.8072,19.3424,0.9928,7.3203,2568,2383,1,55.0829,0.928,0.5092,337.348,sunflowerSeeds
,,,,,,,,,,,,
709,53.7972,16.9849,0.9489,-1.5709,736,712,0,30.0454,0.9633,0.7723,115.724,peas
,,,,,,,,,,,,
175,36.7238,6.5186,0.9841,70.373,212,175,1,14.9271,0.8255,0.3739,78.021,barley
,,,,,,,,,,,,
2722,133.5775,26.4151,0.9803,-28.6332,2840,2722,1,58.8707,0.9585,0.3254,284.786,sunflowerSeeds
,,,,,,,,,,,,
800,55.1194,18.6058,0.9413,1.313,832,802,-1,31.9154,0.9615,0.7656,119.95,peas
,,,,,,,,,,,,
127,21.9355,7.9109,0.9327,-86.887,149,127,1,12.7162,0.8523,0.7056,49.373,barley
,,,,,,,,,,,,
1342,140.9986,12.4319,0.9961,10.2022,1453,1342,1,41.3363,0.9236,0.3524,280.307,sunflowerSeeds
,,,,,,,,,,,,
387,47.2589,10.5287,0.9749,-10.1178,409,387,1,22.1978,0.9462,0.6615,96.901,wheat
,,,,,,,,,,,,
252,36.7778,8.8317,0.9707,10.8277,269,252,1,17.9125,0.9368,0.6364,76.54,wheat
,,,,,,,,,,,,
2725,147.4622,23.9043,0.9868,12.7992,2846,2735,-5,58.9031,0.9575,0.4648,302.248,sunflowerSeeds
,,,,,,,,,,,,
250,40.6557,7.9839,0.9805,-8.2272,271,250,1,17.8412,0.9225,0.641,81.262,wheat
,,,,,,,,,,,,
747,55.4545,17.2035,0.9507,-0.037,774,747,1,30.8401,0.9651,0.7989,119.528,peas
,,,,,,,,,,,,
150,31.3197,7.2125,0.9731,-54.8789,194,155,-4,13.8198,0.7732,0.282,76.657,barley
,,,,,,,,,,,,
1116,131.6319,11.2154,0.9964,9.5602,1222,1116,1,37.6953,0.9133,0.349,254.008,sunflowerSeeds
,,,,,,,,,,,,
305,43.0141,9.1213,0.9773,-1.1541,323,305,1,19.7063,0.9443,0.7881,87.506,wheat
,,,,,,,,,,,,
215,29.1846,9.5756,0.9446,6.0763,231,215,1,16.5453,0.9307,0.6981,61.29,barley
,,,,,,,,,,,,
2058,108.6089,24.4922,0.9742,17.9744,2248,2058,1,51.1891,0.9155,0.4497,243.143,sunflowerSeeds
,,,,,,,,,,,,
514,43.3284,15.2423,0.9361,0.4912,541,514,1,25.5821,0.9501,0.7471,95.636,peas
,,,,,,,,,,,,
2522,148.0379,22.0456,0.9888,10.7902,2634,2522,1,56.6667,0.9575,0.4831,301.884,sunflowerSeeds
,,,,,,,,,,,,
772,56.4408,17.4779,0.9508,0.869,804,772,1,31.3519,0.9602,0.7659,121.422,peas
,,,,,,,,,,,,
122,54.243,3.7624,0.9976,-86.0802,187,122,1,12.4634,0.6524,0.442,94.246,sunflowerSeeds
,,,,,,,,,,,,
600,46.3878,16.5315,0.9343,1.223,618,600,1,27.6395,0.9709,0.8152,101.491,peas
,,,,,,,,,,,,
1672,146.881,15.1585,0.9947,11.1707,1836,1695,-2,46.1395,0.9107,0.3759,295.26,sunflowerSeeds
,,,,,,,,,,,,
258,27.0113,12.2872,0.8905,-16.3698,268,258,1,18.1245,0.9627,0.7088,61.315,wheat
,,,,,,,,,,,,
3201,189.1729,21.9297,0.9933,-3.0613,3409,3236,-10,63.8407,0.939,0.6921,397.263,sunflowerSeeds
,,,,,,,,,,,,
3805,164.4713,33.3126,0.9793,8.3946,4675,3805,1,69.6037,0.8139,0.4584,392.393,sunflowerSeeds
,,,,,,,,,,,,
