Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
578,46.5424,15.8859,0.9399,2.6686,597,578,1,27.1281,0.9682,0.7853,101.218,peas
,,,,,,,,,,,,
381,35.1432,13.9031,0.9184,-15.7153,399,381,1,22.0251,0.9549,0.6592,79.493,wheat
,,,,,,,,,,,,
350,27.8019,16.6034,0.8021,-35.9124,384,354,-1,21.11,0.9115,0.6364,81.148,barley
,,,,,,,,,,,,
117,15.5954,11.4025,0.6822,63.611,141,117,1,12.2053,0.8298,0.5969,44.957,barley
,,,,,,,,,,,,
535,46.2018,14.8087,0.9472,-3.1793,556,535,1,26.0995,0.9622,0.7926,99.514,peas
,,,,,,,,,,,,
804,53.2238,19.3092,0.9319,-0.7815,825,804,1,31.9951,0.9745,0.8138,116.923,peas
,,,,,,,,,,,,
670,49.6982,17.2118,0.9381,1.3465,690,670,1,29.2074,0.971,0.8043,108.231,peas
,,,,,,,,,,,,
363,47.3902,9.8685,0.9781,6.8201,394,363,1,21.4985,0.9213,0.6576,96.512,wheat
,,,,,,,,,,,,
693,50.9927,17.4658,0.9395,-2.0555,720,693,1,29.7045,0.9625,0.7549,111.994,peas
,,,,,,,,,,,,
370,52.2731,9.1246,0.9846,-1.597,388,370,1,21.7048,0.9536,0.8061,103.93,wheat
,,,,,,,,,,,,
249,24.2213,13.4155,0.8326,-24.5208,271,249,1,17.8055,0.9188,0.6368,65.029,barley
